"Codigo Articulo","Descripción","Des.Marca","Familia","Sub-Familia","Unidad de stock"
"046226","CARTERA PRINCESAS DFBNAV11007","IASA","001","125","UNI"
"046227","CARTERA PRINCESAS DFBNAV11011","IASA","001","125","UNI"
"046228","CARTERA PRINCESAS DFBNAV11008","IASA","001","125","UNI"
"046229","BOLSO PRINCESAS DFBNAV11019","IASA","001","125","UNI"
"046230","BOLSO PRINCESAS DFBNAV11039","IASA","001","125","UNI"
"046231","BOLSO PRINCESAS DFBNAV11041","IASA","001","125","UNI"
"046232","BOLSO PRINCESAS DFBNAV11002","IASA","001","125","UNI"
"046233","BOLSO PRINCESAS DFBNAV11045","IASA","001","125","UNI"
"046234","BOLSO PRINCESAS DFBNAV11046","IASA","001","125","UNI"
"046235","CARTERA PRINCESAS DFBNAV11009","IASA","001","125","UNI"
"046236","CARTERA TINKERBELL DFBNAV11023","IASA","001","125","UNI"
"046237","CARTERA TINKERBELL DFBNAV11028","IASA","001","125","UNI"
"046238","BOLSO TINKERBELL DFBNAV11030","IASA","001","125","UNI"
"046239","BOLSO TINKERBELL DFBNAV11040","IASA","001","125","UNI"
"046240","BOLSO TINKERBELL DFBNAV11031","IASA","001","125","UNI"
"046241","BOLSO MINNIE DFBNAV11042","IASA","001","125","UNI"
"046242","CARTERA  MINNIE DFBNAV11025","IASA","001","125","UNI"
"046243","CARTERA  MINNIE DFBNAV11017","IASA","001","125","UNI"
"046244","CARTERA  MINNIE DFBNAV11004","IASA","001","125","UNI"
"046245","CARTERA  MINNIE DFBNAV11020","IASA","001","125","UNI"
"046246","CARTERA  MINNIE DFBNAV11018","IASA","001","125","UNI"
"046247","CARTERA MINNIE DFBNAV11014","IASA","001","125","UNI"
"046248","BOLSO MINNIE DFBNAV11024","IASA","001","125","UNI"
"046249","BOLSO MINNIE  DFBNAV11043","IASA","001","125","UNI"
"046250","CARTERA  HECHICEROS  DFBNAV11034","IASA","001","125","UNI"
"046251","CARTERA  HECHICEROS  DFBNAV11035","IASA","001","125","UNI"
"046252","CARTERA  HECHICEROS  DFBNAV11032","IASA","001","125","UNI"
"046253","BOLSO HECHICEROS DFBNAV11047","IASA","001","125","UNI"
"046254","MALETIN BARBIE FL T2SG82BFL12","IASA","001","125","UNI"
"046255","MALETIN BARBIE SG82BCHSA12","IASA","001","125","UNI"
"046256","MALETIN BARBIE SG82BFLF12","IASA","001","125","UNI"
"046257","MALETIN BARBIE SG82BFLC12","IASA","001","125","UNI"
"046258","MALETIN BARBIE SG82BFLH12","IASA","001","125","UNI"
"046259","MALETIN BARBIE SG82BFLI12","IASA","001","125","UNI"
"046260","MALETIN BARBIE SG82BCHSC12","IASA","001","125","UNI"
"046261","MALETIN BARBIE SG82BFLA12","IASA","001","125","UNI"
"046262","BOLSO A TODO RITMO  DFBNAV11022","IASA","001","125","UNI"
"046263","CARTERA  A TODO RITMO  DFBNAV11013","IASA","001","125","UNI"
"046264","BOLSO MICKEY DFBNAV11016","IASA","001","125","UNI"
"046265","BOLSO CARS  DFBNAV11048","IASA","001","125","UNI"
"046266","BOLSO DEPORTIVO BARBIE1 DC07BFLA12","IASA","001","125","UNI"
